Aube|10|50|387_GG_11_73|Saint-Martin (TROYES)|1845 - 1845|Naissance_Mariage_Décès|86|https://www.archives-aube.fr/_recherche-images/download/397178/image/67076/0/full/max/0/default.jpg
Aube|10|58|387_GG_11_81|Saint-Martin (TROYES)|1853 - 1853|Naissance_Mariage_Décès|107|https://www.archives-aube.fr/_recherche-images/download/397186/image/67084/0/full/max/0/default.jpg
Aube|10|60|387_GG_11_82|Saint-Martin (TROYES)|1854 - 1854|Naissance_Mariage_Décès|105|https://www.archives-aube.fr/_recherche-images/download/397187/image/67085/0/full/max/0/default.jpg
Aube|10|74|387_GG_TA_08|Saint-Nicolas (TROYES)|1671 - 1680|Baptême|174|https://www.archives-aube.fr/_recherche-images/download/396273/image/66265/0/full/max/0/default.jpg
Aube|10|80|387_GG_TA_40|Saint-Nicolas (TROYES)|1681 - 1690|Décès|126|https://www.archives-aube.fr/_recherche-images/download/396848/image/66746/0/full/max/0/default.jpg
Aube|10|94|387_GG_12_07|Saint-Nicolas (TROYES)|1719 - 1722|Mariage_Sépulture|30|https://www.archives-aube.fr/_recherche-images/download/395132/image/65125/0/full/max/0/default.jpg
Aube|10|97|387_GG_TA_44|Saint-Nicolas (TROYES)|1721 - 1730|Décès|136|https://www.archives-aube.fr/_recherche-images/download/396916/image/66814/0/full/max/0/default.jpg
Aube|10|99|387_GG_TA_14|Saint-Nicolas (TROYES)|1731 - 1740|Baptême|140|https://www.archives-aube.fr/_recherche-images/download/396375/image/66367/0/full/max/0/default.jpg
Aube|11|4|387_GG_TA_31|Saint-Nicolas (TROYES)|1741 - 1750|Mariage|43|https://www.archives-aube.fr/_recherche-images/download/396726/image/66624/0/full/max/0/default.jpg
Aube|11|10|387_GG_TA_17|Saint-Nicolas (TROYES)|1761 - 1770|Baptême|141|https://www.archives-aube.fr/_recherche-images/download/396426/image/66418/0/full/max/0/default.jpg
Aube|11|13|387_GG_12_11|Saint-Nicolas (TROYES)|1770 - 1779|Baptême_Mariage_Sépulture|235|https://www.archives-aube.fr/_recherche-images/download/395136/image/65129/0/full/max/0/default.jpg
Aube|11|14|387_GG_TA_18|Saint-Nicolas (TROYES)|1771 - 1780|Baptême|200|https://www.archives-aube.fr/_recherche-images/download/396443/image/66435/0/full/max/0/default.jpg
Aube|11|15|387_GG_TA_34|Saint-Nicolas (TROYES)|1771 - 1780|Mariage|55|https://www.archives-aube.fr/_recherche-images/download/396777/image/66675/0/full/max/0/default.jpg
Aube|11|16|387_GG_TA_49|Saint-Nicolas (TROYES)|1771 - 1780|Décès|148|https://www.archives-aube.fr/_recherche-images/download/397001/image/66899/0/full/max/0/default.jpg
Aube|11|18|387_GG_TA_19|Saint-Nicolas (TROYES)|1781 - 1792|Naissance|254|https://www.archives-aube.fr/_recherche-images/download/396460/image/66452/0/full/max/0/default.jpg
Aube|11|20|387_GG_TA_50|Saint-Nicolas (TROYES)|1781 - 1792|Décès|195|https://www.archives-aube.fr/_recherche-images/download/397018/image/66916/0/full/max/0/default.jpg
Aube|11|21|387_GG_12_13|Saint-Nicolas (TROYES)|1790 - 1791|Baptême_Mariage_Sépulture|30|https://www.archives-aube.fr/_recherche-images/download/395138/image/65131/0/full/max/0/default.jpg
Aube|11|22|387_GG_13_01|Saint-Nizier (TROYES)|1581 - 1594|Baptême|197|https://www.archives-aube.fr/_recherche-images/download/395139/image/65132/0/full/max/0/default.jpg
Aube|11|23|387_GG_TA_38|Saint-Nizier (TROYES)|1587 - 1670|Décès|126|https://www.archives-aube.fr/_recherche-images/download/396815/image/66713/0/full/max/0/default.jpg
Aube|11|24|387_GG_13_02|Saint-Nizier (TROYES)|1594 - 1605|Baptême|200|https://www.archives-aube.fr/_recherche-images/download/395140/image/65133/0/full/max/0/default.jpg
Aube|11|25|387_GG_TA_01|Saint-Nizier (TROYES)|1601 - 1610|Baptême|180|https://www.archives-aube.fr/_recherche-images/download/396155/image/66147/0/full/max/0/default.jpg
Aube|11|26|387_GG_13_03|Saint-Nizier (TROYES)|1605 - 1616|Baptême|195|https://www.archives-aube.fr/_recherche-images/download/395141/image/65134/0/full/max/0/default.jpg
Aube|11|27|387_GG_TA_22|Saint-Nizier (TROYES)|1608 - 1660|Mariage|82|https://www.archives-aube.fr/_recherche-images/download/396480/image/66472/0/full/max/0/default.jpg
Aube|11|29|387_GG_TA_03|Saint-Nizier (TROYES)|1611 - 1620|Baptême|176|https://www.archives-aube.fr/_recherche-images/download/396189/image/66181/0/full/max/0/default.jpg
Aube|11|30|387_GG_13_04|Saint-Nizier (TROYES)|1616 - 1630|Baptême|191|https://www.archives-aube.fr/_recherche-images/download/395143/image/65136/0/full/max/0/default.jpg
Aube|11|31|387_GG_13_03bis|Saint-Nizier (TROYES)|1624 - 1642|Mariage|118|https://www.archives-aube.fr/_recherche-images/download/395142/image/65135/0/full/max/0/default.jpg
Aube|11|32|387_GG_13_05|Saint-Nizier (TROYES)|1630 - 1645|Baptême|192|https://www.archives-aube.fr/_recherche-images/download/395145/image/65138/0/full/max/0/default.jpg
Aube|11|33|387_GG_TA_04|Saint-Nizier (TROYES)|1631 - 1640|Baptême|184|https://www.archives-aube.fr/_recherche-images/download/396206/image/66198/0/full/max/0/default.jpg
Aube|11|34|387_GG_TA_05|Saint-Nizier (TROYES)|1641 - 1650|Baptême|198|https://www.archives-aube.fr/_recherche-images/download/396223/image/66215/0/full/max/0/default.jpg
